artikel;name;ek
200181;NORIT - Grundierung - 5 ltr.;67.3
200182;NORIT - Heizrohr PE-RT 12 x 1,3 mm - 240 lfm.;0.72
200183;NORIT - Heizrohr PE-RT 12 x 1,3 mm - 650 lfm.;0.72
200184;NORIT - Holzfaserplatte, lose - 10 mm, 1200 x 600 mm;3.77
200185;NORIT - Klemm-Kupplungsadapter 12 mm;3.93
200186;NORIT - Presskupplung 12 mm;4.84
200187;NORIT - Randdämmstreifen 10/80 mm - 25 lfm., PE Schaum m. Klebestreifen + Schleppfolie.;18.25
200188;NORIT - TE 20 Therm GF-E ( Ergänzungs-Element ), Trockenestrich aus Gipsfaser N/F, einfache Fräsung 12 cm Raster, Abmessung: 1200 x 600 mm (Deckmaß), Pal. a 43,2 qm. ( = 60 Stk. );25.3
200189;NORIT - TE 20 Therm GF-U ( Universal-Element ), Trockenestrich aus Gipsfaser N/F, mit innovativem Fräslayout 12 cm Raster, Abmessung : 600 x 600 mm ( Deckmaß ), Pal. a 21,6 qm ( = 60 Stk. );40.840000000000003
200190;NORIT - TE 30 Therm GF-E ( Ergänzungs-Element ), Trockenestrich aus Gipsfaser N/F, einfache Fräsung 12 cm Raster, Abmessung: 1200 x 600 mm (Deckmaß), Pal. a 28,8 qm ( = 40 Stk. );37.47
200191;NORIT - TE 30 Therm GF-U ( Universal-Element ), Trockenestrich aus Gipsfaser N/F, mit innovativem Fräslayout 12 cm Raster, Abmessung : 1200 x 600 mm(Deckmaß), Pal. a 28,8 qm ( = 40 Stk. );44.59
200192;NORIT - Trockenestrich TE-20, Gipsfaserplatte mit Klicksystem, 1200 x 600 x 20 mm, Pal. a 43,2 qm ( = 60 Stk. );15.75
200193;NORIT - Trockenestrich TE-25, Gipsfaserplatte mit Klicksystem, 1200 x 600 x 25 mm, Pal. a 36,0 qm ( = 50 Stk. );17.829999999999998
200194;NORIT - Trockenschüttung 50 ltr aus natürlichem, geblähtem Ton;9.15
200195;NORIT - Vergussmasse 25 kg, Zementgebunden, hoch fließfähig, Pal. a 42 Sack;33.75
200196;NORIT - Vergussmasse CA 25 kg, Calciumsulfatgebunden, hoch fließfähig, Pal. a 42 Sack;27.25
200197;NORIT - Vergussmasse Universal 25 kg, calciumsulfatgebunden, Pal. a 42 Sack;27.25
200198;PE-Folie Typ 200 - opak  (4 x 25 m);14.9
200199;Portlandkalksteinzement CEM II/A-LL 32,5 R - 25 kg je Sack, 25kg, je Palette 56 Sack je Sack, 25kg, je Palette 56 Sack;0
200200;PP-Klebeband, grau  -  66 lfm.;0
200200;PP-Klebeband, grau  -  66 lfm.;1.27
200201;PP-Klebeband, transparent -  66 lfm.;0.98
200202;protec-Heizrohr PE-RT 16x2 - 600 m;0.36
200203;protec-Heizrohr PE-Xc 17 x 2 mm - 600 m;0.48
200204;Qualimeter   -   20 ltr., Verarbeitungshilfe für höhere Verlegeleistung;21.15
200205;Quarzsand 25kg;7
200206;Rasterfolie mit Gewebebändchen (Rl.= 103 m2);57.68
200207;Retanol EKA blau PRO 1   -   20 ltr., garantierte, taggenaue Belegreife ab 3 Tagen, lange Verarbeitungszeit trotz kurzer Aushärtezeit;24.61
200208;Retanol XTHINN   -   20 ltr., für hochfeste Dünnschichtestriche;49.23
200209;Retanol Xtreme PRO 1   -   20 ltr., für extrem hohe Früh- und Endfestigkeiten, Belegereife : Fliesen = 2 Tage , alle anderen Beläge = 3 Tage;29.18
